Title,Teacher,Grade,Taken,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5,Academic-year
Community Detection with Deep Graph Neural Networks (GNN),MOUSSAOUI  Abdelouahab,Professeur,TRUE,IDTW,F3I,IFIA,GL,RSD,2021-2022
Identification of Plant-Leaf Diseases Based Generative-Attention CNN and Transfer-Learning Approaches,MOUSSAOUI  Abdelouahab,Professeur,TRUE,IDTW,F3I,IFIA,GL,RSD,2021-2022
Deep Learning fo Medical Object Detection and Segmentation : Case of Osteoporosis Disease,MOUSSAOUI  Abdelouahab,Professeur,TRUE,IDTW,F3I,IFIA,GL,RSD,2021-2022
Classification of Remote Sensing Images using Transfer Learning and CNN Model with Attention,MOUSSAOUI  Abdelouahab,Professeur,TRUE,F3I,IDTW,IFIA,GL,RSD,2021-2022
Very Deep Attention-Based Models for Sentiments Analysis and Text Classification,MOUSSAOUI  Abdelouahab,Professeur,TRUE,IDTW,F3I,IFIA,GL,RSD,2021-2022
Novel Deep Learning Architecture for Predicting Heart Diseases based Transformers and Attention Mechanism with Explainability Model,MOUSSAOUI  Abdelouahab,Professeur,TRUE,GL,IDTW,IFIA,F3I,RSD,2021-2022
Hate speech detection in tweets,REFOUFI  Allaoua,Professeur,TRUE,IDTW,F3I,IFIA,GL,RSD,2021-2022
Deep learning based sentiment analysis of movie reviews,REFOUFI  Allaoua,Professeur,TRUE,IDTW,IFIA,GL,RSD,,2021-2022
Éliminer les silos d’information et unifier les systèmes en les dotant de couches métiers,SAIDI  Mohamed,Maitre de conferences classe A,TRUE,GL,IDTW,IFIA,RSD,F3I,2021-2022
Fusion de systèmes d'information,SAIDI  Mohamed,Maitre de conferences classe A,TRUE,GL,IDTW,IFIA,RSD,F3I,2021-2022
Protocole clustering les reseaux IoT basé deep learning,ALIOUAT née ZOUAOUI  Zibouda,Professeur,TRUE,RSD,IDTW,IFIA,F3I,GL,2021-2022
Détection des cyber-attaques dans l’internet des objets,ALIOUAT née ZOUAOUI  Zibouda,Professeur,TRUE,RSD,IDTW,IFIA,F3I,GL,2021-2022
Conception et Réalisation d'un MOOC orienté Réseaux,KHENTOUT  Chabane,Maitre de conferences classe B,TRUE,IDTW,IFIA,F3I,RSD,GL,2021-2022
Système d’acquisition et de traitement des données sur les accidents de la route en Algérie,DOUIDI  Lamri,Maitre de conferences classe B,TRUE,IDTW,GL,RSD,IFIA,F3I,2021-2022
Services web dans un environnement d’apprentissage à distance,DOUIDI  Lamri,Maitre de conferences classe B,TRUE,IDTW,GL,RSD,IFIA,F3I,2021-2022
Approche ontologique pour l’indexation des ressources pédagogiques numériques,DOUIDI  Lamri,Maitre de conferences classe B,TRUE,GL,IDTW,IFIA,RSD,F3I,2021-2022
Simulation de la propagation du Covid19 (CoronaVirus) par les Systèmes Multi-Agents,BENAOUDA  Abdelhafid,Maitre de conferences classe B,TRUE,RSD,IDTW,IFIA,F3I,GL,2021-2022
"Un modèle basé ""resource LoadBalancing""  dans les Infrastructures as a Services (IaaS) des Cloud-Computing.",BENAOUDA  Abdelhafid,Maitre de conferences classe B,TRUE,RSD,IDTW,IFIA,F3I,GL,2021-2022
Simulation  d'un système automatisé  modélisé  par grafcets  hiérarchiques (Encadré par Dr. Nacéra Benaouda),BENAOUDA  Abdelhafid,Maitre de conferences classe B,FALSE,GL,IFIA,RSD,IDTW,F3I,2021-2022
